"subj" "expt" "item" "condition" "pos" "word" "correct" "rt" "so" "rcpos" "region"
"1984" 25 "e1" 11 "c" "3" "的" "-" 278 0.5 "3" "de"
"1995" 25 "e1" 3 "c" "2" "的" "-" 278 0.5 "3" "de"
"2005" 25 "e1" 1 "a" "2" "的" "-" 273 -0.5 "3" "de"
"2016" 25 "e1" 9 "a" "2" "的" "-" 242 -0.5 "3" "de"
"2027" 25 "e1" 19 "c" "2" "的" "-" 298 0.5 "3" "de"
"2037" 26 "e1" 10 "c" "2" "的" "-" 505 0.5 "3" "de"
"2047" 26 "e1" 16 "a" "2" "的" "-" 454 -0.5 "3" "de"
"2061" 26 "e1" 4 "a" "2" "的" "-" 469 -0.5 "3" "de"
"2072" 26 "e1" 12 "a" "2" "的" "-" 540 -0.5 "3" "de"
"2085" 26 "e1" 2 "c" "2" "的" "-" 439 0.5 "3" "de"
"2095" 26 "e1" 8 "a" "2" "的" "-" 464 -0.5 "3" "de"
"2108" 26 "e1" 6 "c" "2" "的" "-" 439 0.5 "3" "de"
"2118" 26 "e1" 14 "c" "2" "的" "-" 404 0.5 "3" "de"
"2132" 26 "e1" 20 "a" "2" "的" "-" 364 -0.5 "3" "de"
"2143" 26 "e1" 18 "c" "2" "的" "-" 414 0.5 "3" "de"
"2153" 27 "e1" 17 "c" "2" "的" "-" 1503 0.5 "3" "de"
"2166" 27 "e1" 11 "a" "3" "的" "-" 449 -0.5 "3" "de"
"2177" 27 "e1" 3 "a" "2" "的" "-" 1775 -0.5 "3" "de"
"2188" 27 "e1" 13 "c" "3" "的" "-" 656 0.5 "3" "de"
"2198" 27 "e1" 15 "a" "2" "的" "-" 449 -0.5 "3" "de"
"2210" 27 "e1" 9 "c" "2" "的" "-" 379 0.5 "3" "de"
"2221" 27 "e1" 7 "a" "2" "的" "-" 590 -0.5 "3" "de"
"2233" 27 "e1" 19 "a" "2" "的" "-" 495 -0.5 "3" "de"
"2243" 27 "e1" 5 "c" "2" "的" "-" 1729 0.5 "3" "de"
"2252" 27 "e1" 1 "c" "2" "的" "-" 384 0.5 "3" "de"
"2263" 28 "e1" 8 "c" "2" "的" "-" 677 0.5 "3" "de"
"2276" 28 "e1" 10 "a" "2" "的" "-" 429 -0.5 "3" "de"
"2286" 28 "e1" 6 "a" "2" "的" "-" 656 -0.5 "3" "de"
"2296" 28 "e1" 4 "c" "2" "的" "-" 1423 0.5 "3" "de"
"2308" 28 "e1" 12 "c" "2" "的" "-" 2567 0.5 "3" "de"
"2322" 28 "e1" 14 "a" "2" "的" "-" 747 -0.5 "3" "de"
"2336" 28 "e1" 2 "a" "2" "的" "-" 616 -0.5 "3" "de"
"2346" 28 "e1" 18 "a" "2" "的" "-" 409 -0.5 "3" "de"
"2356" 28 "e1" 16 "c" "2" "的" "-" 389 0.5 "3" "de"
"2368" 28 "e1" 20 "c" "2" "的" "-" 636 0.5 "3" "de"
