"subj" "item" "condition" "rt" "rcpos"
"2614" "11.dat" 14 "d" 634 "4"
"2615" "11.dat" 14 "d" 724 "5"
"2645" "11.dat" 20 "b" 498 "1"
"26461" "11.dat" 20 "b" 634 "2"
"26471" "11.dat" 20 "b" 453 "3"
"26481" "11.dat" 20 "b" 2035 "4"
"26491" "11.dat" 20 "b" 453 "5"
"2681" "11.dat" 4 "b" 589 "1"
"2682" "11.dat" 4 "b" 1583 "2"
"2683" "11.dat" 4 "b" 453 "3"
"2684" "11.dat" 4 "b" 860 "4"
"2685" "11.dat" 4 "b" 724 "5"
"2762" "11.dat" 19 "a" 1312 "1"
"2763" "11.dat" 19 "a" 770 "2"
"2764" "11.dat" 19 "a" 363 "3"
"2765" "11.dat" 19 "a" 633 "4"
"2766" "11.dat" 19 "a" 589 "5"
"2785" "11.dat" 9 "c" 905 "1"
"2786" "11.dat" 9 "c" 498 "2"
"2787" "11.dat" 9 "c" 363 "3"
"2788" "11.dat" 9 "c" 589 "4"
"2789" "11.dat" 9 "c" 453 "5"
"2831" "11.dat" 24 "b" 815 "1"
"2832" "11.dat" 24 "b" 589 "2"
"2833" "11.dat" 24 "b" 498 "3"
"2834" "11.dat" 24 "b" 3844 "4"
"2835" "11.dat" 24 "b" 996 "5"
"2873" "11.dat" 1 "c" 996 "1"
"2874" "11.dat" 1 "c" 571 "2"
"2875" "11.dat" 1 "c" 572 "3"
"2876" "11.dat" 1 "c" 408 "4"
"2877" "11.dat" 1 "c" 1267 "5"
"29109" "11.dat" 12 "b" 345 "1"
"29111" "11.dat" 12 "b" 1538 "2"
"29121" "11.dat" 12 "b" 363 "3"
"29138" "11.dat" 12 "b" 797 "4"
"29141" "11.dat" 12 "b" 1248 "5"
"29451" "11.dat" 2 "d" 318 "1"
"29461" "11.dat" 2 "d" 498 "2"
"29471" "11.dat" 2 "d" 436 "3"
"29486" "11.dat" 2 "d" 3438 "4"
"29491" "11.dat" 2 "d" 616 "5"
"29951" "11.dat" 8 "b" 318 "1"
"29961" "11.dat" 8 "b" 363 "2"
"29971" "11.dat" 8 "b" 408 "3"
"29981" "11.dat" 8 "b" 770 "4"
"2999" "11.dat" 8 "b" 1403 "5"
"3028" "11.dat" 10 "d" 318 "1"
"3029" "11.dat" 10 "d" 1132 "2"
"3030" "11.dat" 10 "d" 363 "3"
"3031" "11.dat" 10 "d" 589 "4"
"3032" "11.dat" 10 "d" 408 "5"
"3094" "11.dat" 5 "c" 589 "1"
"3095" "11.dat" 5 "c" 453 "2"
"3096" "11.dat" 5 "c" 318 "3"
"3097" "11.dat" 5 "c" 363 "4"
"3098" "11.dat" 5 "c" 544 "5"
"3114" "11.dat" 11 "a" 318 "1"
"3115" "11.dat" 11 "a" 363 "2"
"3116" "11.dat" 11 "a" 318 "3"
"3117" "11.dat" 11 "a" 453 "4"
"3118" "11.dat" 11 "a" 2126 "5"
"3163" "11.dat" 7 "a" 454 "1"
"3164" "11.dat" 7 "a" 870 "2"
"3165" "11.dat" 7 "a" 381 "3"
"3166" "11.dat" 7 "a" 377 "4"
"3167" "11.dat" 7 "a" 595 "5"
"3221" "11.dat" 16 "b" 363 "1"
"3222" "11.dat" 16 "b" 408 "2"
"3223" "11.dat" 16 "b" 318 "3"
"3224" "11.dat" 16 "b" 318 "4"
"3225" "11.dat" 16 "b" 1538 "5"
"3256" "11.dat" 3 "a" 453 "1"
"3257" "11.dat" 3 "a" 543 "2"
"3258" "11.dat" 3 "a" 363 "3"
"3259" "11.dat" 3 "a" 408 "4"
"3260" "11.dat" 3 "a" 454 "5"
"33291" "11.dat" 21 "c" 951 "1"
"333010" "11.dat" 21 "c" 453 "2"
"33311" "11.dat" 21 "c" 363 "3"
"33323" "11.dat" 21 "c" 1177 "4"
"3333" "11.dat" 21 "c" 363 "5"
"3375" "11.dat" 13 "c" 345 "1"
"3376" "11.dat" 13 "c" 498 "2"
"3377" "11.dat" 13 "c" 363 "3"
"3378" "11.dat" 13 "c" 770 "4"
"3379" "11.dat" 13 "c" 1675 "5"
"3442" "11.dat" 17 "c" 318 "1"
"3443" "11.dat" 17 "c" 453 "2"
"3444" "11.dat" 17 "c" 1086 "3"
"3445" "11.dat" 17 "c" 905 "4"
"3446" "11.dat" 17 "c" 589 "5"
"3523" "11.dat" 15 "a" 319 "1"
"3524" "11.dat" 15 "a" 408 "2"
"3525" "11.dat" 15 "a" 409 "3"
"3526" "11.dat" 15 "a" 318 "4"
"3527" "11.dat" 15 "a" 2986 "5"
"3565" "11.dat" 18 "d" 318 "1"
"3566" "11.dat" 18 "d" 1041 "2"
"3567" "11.dat" 18 "d" 363 "3"
"3568" "11.dat" 18 "d" 1720 "4"
"3569" "11.dat" 18 "d" 2262 "5"
"3617" "11.dat" 6 "d" 815 "1"
"3618" "11.dat" 6 "d" 1041 "2"
"3619" "11.dat" 6 "d" 498 "3"
"3620" "11.dat" 6 "d" 3484 "4"
"3621" "11.dat" 6 "d" 408 "5"
"3661" "11.dat" 22 "d" 408 "1"
"3662" "11.dat" 22 "d" 951 "2"
"3663" "11.dat" 22 "d" 391 "3"
"3664" "11.dat" 22 "d" 408 "4"
"3665" "11.dat" 22 "d" 589 "5"
"3709" "11.dat" 23 "a" 409 "1"
"3710" "11.dat" 23 "a" 725 "2"
"3711" "11.dat" 23 "a" 454 "3"
"3712" "11.dat" 23 "a" 499 "4"
"3713" "11.dat" 23 "a" 589 "5"
"3806" "12.dat" 8 "c" 680 "1"
"3807" "12.dat" 8 "c" 997 "2"
"3808" "12.dat" 8 "c" 1178 "3"
"3809" "12.dat" 8 "c" 725 "4"
"3810" "12.dat" 8 "c" 544 "5"
"39001" "12.dat" 15 "b" 499 "1"
"39016" "12.dat" 15 "b" 499 "2"
"39021" "12.dat" 15 "b" 409 "3"
"39031" "12.dat" 15 "b" 454 "4"
"39043" "12.dat" 15 "b" 680 "5"
"3995" "12.dat" 21 "d" 771 "1"
"3996" "12.dat" 21 "d" 753 "2"
"3997" "12.dat" 21 "d" 499 "3"
"3998" "12.dat" 21 "d" 1903 "4"
"3999" "12.dat" 21 "d" 409 "5"
"4028" "12.dat" 7 "b" 499 "1"
"4029" "12.dat" 7 "b" 460 "2"
"4030" "12.dat" 7 "b" 519 "3"
"4031" "12.dat" 7 "b" 5927 "4"
"4032" "12.dat" 7 "b" 635 "5"
"4061" "12.dat" 11 "b" 590 "1"
"4062" "12.dat" 11 "b" 454 "2"
"4063" "12.dat" 11 "b" 409 "3"
"4064" "12.dat" 11 "b" 1722 "4"
"4065" "12.dat" 11 "b" 318 "5"
"4096" "12.dat" 2 "a" 364 "1"
"4097" "12.dat" 2 "a" 544 "2"
"4098" "12.dat" 2 "a" 364 "3"
"4099" "12.dat" 2 "a" 1586 "4"
"4100" "12.dat" 2 "a" 544 "5"
"4171" "12.dat" 22 "a" 454 "1"
"4172" "12.dat" 22 "a" 454 "2"
"4173" "12.dat" 22 "a" 454 "3"
"4174" "12.dat" 22 "a" 454 "4"
"4175" "12.dat" 22 "a" 635 "5"
"4192" "12.dat" 6 "a" 409 "1"
"4193" "12.dat" 6 "a" 364 "2"
"4194" "12.dat" 6 "a" 409 "3"
"4195" "12.dat" 6 "a" 454 "4"
"4196" "12.dat" 6 "a" 3624 "5"
"4255" "12.dat" 4 "c" 1178 "1"
"4256" "12.dat" 4 "c" 499 "2"
"4257" "12.dat" 4 "c" 544 "3"
"4258" "12.dat" 4 "c" 590 "4"
"4259" "12.dat" 4 "c" 952 "5"
"4287" "12.dat" 19 "b" 274 "1"
"4288" "12.dat" 19 "b" 454 "2"
"4289" "12.dat" 19 "b" 318 "3"
"4290" "12.dat" 19 "b" 273 "4"
"4291" "12.dat" 19 "b" 454 "5"
"4351" "12.dat" 20 "c" 454 "1"
"4352" "12.dat" 20 "c" 635 "2"
"4353" "12.dat" 20 "c" 409 "3"
"4354" "12.dat" 20 "c" 2220 "4"
"4355" "12.dat" 20 "c" 345 "5"
"43741" "12.dat" 3 "b" 391 "1"
"43751" "12.dat" 3 "b" 301 "2"
"43761" "12.dat" 3 "b" 364 "3"
"43771" "12.dat" 3 "b" 816 "4"
"43781" "12.dat" 3 "b" 364 "5"
"4433" "12.dat" 14 "a" 345 "1"
"4434" "12.dat" 14 "a" 319 "2"
"4435" "12.dat" 14 "a" 907 "3"
"4436" "12.dat" 14 "a" 499 "4"
"4437" "12.dat" 14 "a" 1450 "5"
"4472" "12.dat" 12 "c" 454 "1"
"4473" "12.dat" 12 "c" 1133 "2"
"4474" "12.dat" 12 "c" 454 "3"
"4475" "12.dat" 12 "c" 2945 "4"
"4476" "12.dat" 12 "c" 300 "5"
"4504" "12.dat" 13 "d" 454 "1"
"4505" "12.dat" 13 "d" 1178 "2"
"4506" "12.dat" 13 "d" 680 "3"
"4507" "12.dat" 13 "d" 2492 "4"
"4508" "12.dat" 13 "d" 364 "5"
"45591" "12.dat" 23 "b" 274 "1"
"45601" "12.dat" 23 "b" 319 "2"
"45618" "12.dat" 23 "b" 228 "3"
"456210" "12.dat" 23 "b" 274 "4"
"4563" "12.dat" 23 "b" 907 "5"
"4595" "12.dat" 10 "a" 229 "1"
"4596" "12.dat" 10 "a" 482 "2"
"4597" "12.dat" 10 "a" 228 "3"
"4598" "12.dat" 10 "a" 1314 "4"
"4599" "12.dat" 10 "a" 273 "5"
